0,1,2,3,4,5,6,7,8,9,10
citrus fruit,hamburger meat,,,,,,,,,
grapes,pip fruit,photo/film,root vegetables,cling film/bags,,,,,,
pork,coffee,margarine,,,,,,,,
UHT-milk,tea,,,,,,,,,
soft cheese,other vegetables,,,,,,,,,
tropical fruit,sausage,,,,,,,,,
ham,curd,,,,,,,,,
canned beer,newspapers,,,,,,,,,
soda,other vegetables,frozen vegetables,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
soda,shopping bags,other vegetables,rolls/buns,,,,,,,
hygiene articles,cling film/bags,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
beef,newspapers,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
coffee,sausage,shopping bags,specialty bar,red/blush wine,,,,,,
sausage,root vegetables,bottled beer,butter,whole milk,newspapers,yogurt,,,,
other vegetables,bottled water,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
other vegetables,rolls/buns,frozen meals,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
soda,waffles,,,,,,,,,
yogurt,specialty chocolate,specialty bar,,,,,,,,
yogurt,margarine,,,,,,,,,
newspapers,long life bakery product,,,,,,,,,
pip fruit,spices,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
whole milk,hair spray,butter,pastry,,,,,,,
liver loaf,rolls/buns,rolls/buns,other vegetables,rolls/buns,packaged fruit/vegetables,flower (seeds),shopping bags,,,
whole milk,dessert,,,,,,,,,
dessert,newspapers,bottled water,,,,,,,,
ice cream,other vegetables,,,,,,,,,
mayonnaise,decalcifier,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
root vegetables,frozen potato products,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
beverages,candles,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
waffles,cling film/bags,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
whole milk,chocolate,,,,,,,,,
white bread,meat,domestic eggs,roll products ,,,,,,,
red/blush wine,canned fish,,,,,,,,,
frozen potato products,detergent,,,,,,,,,
berries,semi-finished bread,,,,,,,,,
ham,curd,,,,,,,,,
other vegetables,berries,whipped/sour cream,,,,,,,,
cream cheese ,chocolate,,,,,,,,,
frankfurter,white bread,,,,,,,,,
bottled water,frankfurter,dessert,root vegetables,,,,,,,
pip fruit,cat food,,,,,,,,,
chicken,frozen meals,napkins,,,,,,,,
citrus fruit,toilet cleaner,,,,,,,,,
butter milk,chocolate,berries,sweet spreads,butter,long life bakery product,napkins,white bread,,,
brown bread,whole milk,,,,,,,,,
domestic eggs,mayonnaise,coffee,,,,,,,,
coffee,pip fruit,,,,,,,,,
cooking chocolate,hygiene articles,,,,,,,,,
beef,butter,,,,,,,,,
ice cream,canned beer,,,,,,,,,
hard cheese,coffee,,,,,,,,,
frozen dessert,canned beer,,,,,,,,,
sausage,soda,pastry,flower (seeds),newspapers,,,,,,
whole milk,bottled beer,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
soda,soda,,,,,,,,,
cream cheese ,bottled water,rolls/buns,,,,,,,,
chicken,frozen fish,sugar,,,,,,,,
sausage,other vegetables,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
soda,dessert,shopping bags,,,,,,,,
pickled vegetables,liquor,,,,,,,,,
sausage,bottled beer,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
pastry,whole milk,,,,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
whole milk,baking powder,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
frankfurter,chicken,processed cheese,dessert,,,,,,,
sausage,tea,,,,,,,,,
butter milk,ham,whole milk,chicken,domestic eggs,shopping bags,chewing gum,shopping bags,white bread,,
cereals,frozen vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,ice cream,pork,salt,,,,,,,
bottled water,rolls/buns,domestic eggs,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,root vegetables,,,,,,,
waffles,rolls/buns,,,,,,,,,
whole milk,waffles,shopping bags,,,,,,,,
beef,whole milk,chewing gum,,,,,,,,
other vegetables,sausage,white bread,soda,,,,,,,
whole milk,yogurt,,,,,,,,,
newspapers,salty snack,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
rolls/buns,condensed milk,whole milk,soda,,,,,,,
other vegetables,dessert,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
hard cheese,root vegetables,white bread,,,,,,,,
red/blush wine,shopping bags,,,,,,,,,
oil,soda,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
other vegetables,sugar,,,,,,,,,
chicken,sausage,domestic eggs,pasta,,,,,,,
soda,sausage,yogurt,root vegetables,,,,,,,
tropical fruit,nuts/prunes,,,,,,,,,
sweet spreads,male cosmetics,,,,,,,,,
grapes,chicken,,,,,,,,,
white wine,canned vegetables,,,,,,,,,
ham,tropical fruit,popcorn,,,,,,,,
soda,misc. beverages,,,,,,,,,
dessert,flower (seeds),,,,,,,,,
tropical fruit,whole milk,fruit/vegetable juice,whole milk,,,,,,,
frankfurter,other vegetables,,,,,,,,,
pip fruit,butter,whole milk,other vegetables,,,,,,,
tropical fruit,whole milk,nut snack,sliced cheese,,,,,,,
canned beer,pip fruit,instant coffee,yogurt,,,,,,,
butter,root vegetables,,,,,,,,,
pip fruit,domestic eggs,,,,,,,,,
citrus fruit,soda,,,,,,,,,
sausage,pastry,soda,,,,,,,,
canned beer,frankfurter,chicken,whole milk,softener,vinegar,,,,,
beef,pork,margarine,fruit/vegetable juice,margarine,,,,,,
ham,brown bread,,,,,,,,,
other vegetables,popcorn,butter,,,,,,,,
bottled beer,whole milk,,,,,,,,,
salty snack,shopping bags,,,,,,,,,
soda,rolls/buns,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
soda,bottled beer,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
margarine,brown bread,,,,,,,,,
sugar,brown bread,,,,,,,,,
margarine,beef,whipped/sour cream,,,,,,,,
sausage,pip fruit,dish cleaner,,,,,,,,
tropical fruit,tropical fruit,napkins,,,,,,,,
frankfurter,berries,,,,,,,,,
beverages,sugar,,,,,,,,,
rolls/buns,dessert,coffee,,,,,,,,
chocolate,citrus fruit,yogurt,,,,,,,,
canned beer,bottled beer,yogurt,fruit/vegetable juice,,,,,,,
dessert,rolls/buns,,,,,,,,,
tropical fruit,hamburger meat,bottled beer,yogurt,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
pip fruit,onions,yogurt,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
misc. beverages,soda,,,,,,,,,
brown bread,frozen dessert,,,,,,,,,
shopping bags,root vegetables,,,,,,,,,
ham,sausage,detergent,whipped/sour cream,yogurt,dishes,,,,,
frankfurter,other vegetables,whole milk,ready soups,brandy,,,,,,
flower soil/fertilizer,waffles,,,,,,,,,
root vegetables,chocolate,,,,,,,,,
frankfurter,curd,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
soda,UHT-milk,newspapers,white bread,,,,,,,
soft cheese,cream cheese ,,,,,,,,,
pip fruit,curd,,,,,,,,,
whole milk,hard cheese,white bread,,,,,,,,
citrus fruit,pastry,other vegetables,pastry,,,,,,,
citrus fruit,soda,,,,,,,,,
dessert,margarine,,,,,,,,,
tropical fruit,sausage,beef,yogurt,long life bakery product,yogurt,cream cheese ,processed cheese,,,
sugar,soda,,,,,,,,,
frozen vegetables,chicken,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
canned fish,specialty cheese,yogurt,specialty vegetables,,,,,,,
sausage,sausage,,,,,,,,,
bottled water,salty snack,brown bread,,,,,,,,
liquor,UHT-milk,,,,,,,,,
canned beer,pork,processed cheese,root vegetables,snack products,sugar,,,,,
bottled beer,ice cream,,,,,,,,,
domestic eggs,whole milk,napkins,,,,,,,,
frankfurter,cat food,,,,,,,,,
whole milk,beverages,frozen fruits,fruit/vegetable juice,,,,,,,
soda,other vegetables,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
whole milk,whole milk,,,,,,,,,
soda,red/blush wine,,,,,,,,,
chicken,white bread,,,,,,,,,
tropical fruit,cake bar,soda,cat food,,,,,,,
dessert,dog food,newspapers,,,,,,,,
rolls/buns,pickled vegetables,chocolate,whole milk,,,,,,,
house keeping products,yogurt,,,,,,,,,
butter,frozen meals,,,,,,,,,
hair spray,chocolate,rolls/buns,,,,,,,,
other vegetables,pip fruit,frozen vegetables,,,,,,,,
bottled water,butter milk,,,,,,,,,
meat,specialty cheese,,,,,,,,,
berries,hygiene articles,,,,,,,,,
pork,pickled vegetables,,,,,,,,,
berries,grapes,onions,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
fruit/vegetable juice,coffee,,,,,,,,,
other vegetables,beverages,,,,,,,,,
butter,dish cleaner,,,,,,,,,
newspapers,cat food,,,,,,,,,
chocolate,chocolate,,,,,,,,,
chewing gum,beef,domestic eggs,,,,,,,,
tropical fruit,ice cream,butter milk,domestic eggs,,,,,,,
white bread,liquor (appetizer),shopping bags,,,,,,,,
sausage,chicken,canned beer,pip fruit,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
other vegetables,rice,specialty fat,,,,,,,,
onions,specialty chocolate,,,,,,,,,
meat,citrus fruit,chocolate,pastry,rolls/buns,,,,,,
white bread,yogurt,,,,,,,,,
tropical fruit,cooking chocolate,,,,,,,,,
berries,tropical fruit,whole milk,soda,,,,,,,
pip fruit,butter,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
root vegetables,margarine,bottled water,,,,,,,,
sugar,coffee,,,,,,,,,
pip fruit,pip fruit,sliced cheese,dishes,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
sausage,pip fruit,,,,,,,,,
sausage,frozen fruits,,,,,,,,,
frankfurter,root vegetables,pastry,napkins,long life bakery product,,,,,,
chicken,canned beer,,,,,,,,,
meat,coffee,,,,,,,,,
bottled water,yogurt,,,,,,,,,
pastry,hamburger meat,newspapers,other vegetables,root vegetables,instant coffee,yogurt,domestic eggs,,,
rolls/buns,citrus fruit,fruit/vegetable juice,,,,,,,,
pork,pastry,,,,,,,,,
zwieback,curd,,,,,,,,,
butter milk,pet care,,,,,,,,,
dessert,shopping bags,,,,,,,,,
canned beer,frozen meals,pastry,,,,,,,,
beverages,cat food,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
bottled water,bottled water,,,,,,,,,
finished products,berries,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
beef,onions,,,,,,,,,
other vegetables,butter,,,,,,,,,
root vegetables,pastry,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
tropical fruit,rolls/buns,fruit/vegetable juice,,,,,,,,
whole milk,oil,soups,,,,,,,,
waffles,shopping bags,soda,cream cheese ,,,,,,,
chocolate marshmallow,yogurt,soda,,,,,,,,
tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,,
citrus fruit,canned fruit,pip fruit,dessert,,,,,,,
tropical fruit,curd,,,,,,,,,
curd,photo/film,,,,,,,,,
ham,pastry,,,,,,,,,
other vegetables,specialty chocolate,newspapers,,,,,,,,
citrus fruit,tropical fruit,soda,coffee,domestic eggs,,,,,,
dessert,margarine,,,,,,,,,
pork,soda,,,,,,,,,
hard cheese,soda,,,,,,,,,
soda,flower (seeds),,,,,,,,,
other vegetables,whole milk,,,,,,,,,
canned beer,other vegetables,yogurt,,,,,,,,
sausage,other vegetables,oil,candy,,,,,,,
rolls/buns,root vegetables,rolls/buns,long life bakery product,,,,,,,
whole milk,white wine,,,,,,,,,
pip fruit,white wine,shopping bags,,,,,,,,
chicken,whole milk,,,,,,,,,
beverages,canned fish,,,,,,,,,
whole milk,beef,canned beer,,,,,,,,
butter,baking powder,brown bread,,,,,,,,
other vegetables,white bread,,,,,,,,,
bottled water,oil,sausage,bottled beer,rolls/buns,bottled water,waffles,tropical fruit,frozen meals,,
whole milk,white bread,frozen vegetables,,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
citrus fruit,misc. beverages,misc. beverages,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
pork,root vegetables,rolls/buns,,,,,,,,
bottled beer,soda,,,,,,,,,
coffee,butter milk,,,,,,,,,
frankfurter,beef,meat,waffles,whole milk,curd,white bread,frozen meals,sugar,,
pip fruit,curd,canned beer,pork,bottled beer,frozen dessert,dessert,bottled water,,,
beef,other vegetables,,,,,,,,,
salt,ice cream,yogurt,canned beer,,,,,,,
beverages,jam,,,,,,,,,
cream cheese ,shopping bags,shopping bags,,,,,,,,
whole milk,yogurt,chocolate,,,,,,,,
bottled beer,tropical fruit,,,,,,,,,
chicken,yogurt,,,,,,,,,
pork,cake bar,,,,,,,,,
root vegetables,detergent,,,,,,,,,
pork,chocolate,soap,,,,,,,,
salty snack,canned beer,,,,,,,,,
frankfurter,sausage,,,,,,,,,
pasta,hamburger meat,dessert,bottled water,,,,,,,
pork,root vegetables,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
whole milk,yogurt,,,,,,,,,
sausage,whole milk,bottled water,,,,,,,,
bottled beer,soda,,,,,,,,,
whole milk,citrus fruit,shopping bags,white wine,soda,yogurt,,,,,
specialty bar,bottled water,,,,,,,,,
citrus fruit,dessert,,,,,,,,,
soda,chocolate,,,,,,,,,
packaged fruit/vegetables,specialty bar,,,,,,,,,
tropical fruit,grapes,chocolate marshmallow,yogurt,red/blush wine,brown bread,,,,,
citrus fruit,yogurt,,,,,,,,,
beef,yogurt,fruit/vegetable juice,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
beef,tropical fruit,,,,,,,,,
pip fruit,coffee,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
sausage,chicken,bottled beer,whole milk,,,,,,,
whole milk,soft cheese,soda,brown bread,,,,,,,
whole milk,tropical fruit,margarine,,,,,,,,
sugar,napkins,,,,,,,,,
pastry,cereals,,,,,,,,,
pot plants,yogurt,cream cheese ,,,,,,,,
pork,soda,rolls/buns,brown bread,,,,,,,
root vegetables,whipped/sour cream,frozen potato products,sugar,,,,,,,
whole milk,bottled beer,,,,,,,,,
onions,long life bakery product,,,,,,,,,
dessert,cream cheese ,,,,,,,,,
tropical fruit,soda,frozen meals,,,,,,,,
sausage,butter,whole milk,,,,,,,,
whole milk,root vegetables,,,,,,,,,
pork,grapes,hygiene articles,,,,,,,,
specialty cheese,meat,cat food,bottled beer,newspapers,,,,,,
whole milk,sauces,hard cheese,,,,,,,,
frozen potato products,bottled beer,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
ham,white wine,pasta,,,,,,,,
soda,butter,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
photo/film,canned beer,,,,,,,,,
chicken,margarine,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
other vegetables,bottled water,cereals,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
beef,candy,,,,,,,,,
shopping bags,salty snack,,,,,,,,,
beef,curd,,,,,,,,,
ham,chocolate marshmallow,,,,,,,,,
frankfurter,light bulbs,rolls/buns,pasta,,,,,,,
chicken,whole milk,newspapers,,,,,,,,
chocolate,whole milk,,,,,,,,,
cream cheese ,canned beer,waffles,,,,,,,,
chicken,bottled water,,,,,,,,,
specialty cheese,misc. beverages,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,pastry,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
margarine,other vegetables,bottled water,meat spreads,,,,,,,
other vegetables,coffee,,,,,,,,,
liquor,canned beer,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
curd,beef,napkins,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
frankfurter,beverages,beef,whole milk,other vegetables,rolls/buns,softener,vinegar,white bread,,
soda,pip fruit,sugar,brown bread,,,,,,,
rolls/buns,yogurt,,,,,,,,,
root vegetables,mustard,,,,,,,,,
frankfurter,ketchup,,,,,,,,,
chicken,whole milk,snack products,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
other vegetables,curd,,,,,,,,,
hamburger meat,chocolate,processed cheese,,,,,,,,
bottled beer,butter milk,,,,,,,,,
ice cream,onions,,,,,,,,,
dog food,hygiene articles,Instant food products,,,,,,,,
meat,butter,,,,,,,,,
tropical fruit,root vegetables,pip fruit,butter milk,waffles,bottled beer,,,,,
UHT-milk,shopping bags,,,,,,,,,
whole milk,hamburger meat,detergent,pickled vegetables,,,,,,,
domestic eggs,soda,,,,,,,,,
soda,soda,,,,,,,,,
waffles,instant coffee,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
whole milk,pasta,,,,,,,,,
rolls/buns,oil,beverages,bottled water,,,,,,,
instant coffee,domestic eggs,,,,,,,,,
soft cheese,semi-finished bread,,,,,,,,,
sugar,shopping bags,instant coffee,,,,,,,,
beef,yogurt,,,,,,,,,
beverages,yogurt,,,,,,,,,
dessert,pot plants,,,,,,,,,
chicken,meat,chewing gum,bottled beer,baking powder,shopping bags,,,,,
shopping bags,citrus fruit,whole milk,sliced cheese,,,,,,,
dessert,sugar,,,,,,,,,
semi-finished bread,other vegetables,soda,,,,,,,,
whipped/sour cream,bottled water,,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
long life bakery product,hamburger meat,whole milk,,,,,,,,
pip fruit,whole milk,soda,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
tropical fruit,frozen potato products,vinegar,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
dessert,yogurt,,,,,,,,,
soda,dish cleaner,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
pip fruit,rolls/buns,shopping bags,,,,,,,,
hamburger meat,spread cheese,pasta,,,,,,,,
other vegetables,prosecco,pot plants,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
pastry,whole milk,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
whole milk,roll products ,,,,,,,,,
rolls/buns,soda,chocolate,soda,,,,,,,
tropical fruit,oil,,,,,,,,,
meat,margarine,,,,,,,,,
sugar,berries,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
meat spreads,hard cheese,frozen vegetables,butter,,,,,,,
chocolate,oil,domestic eggs,fruit/vegetable juice,frozen vegetables,rolls/buns,,,,,
tropical fruit,cat food,,,,,,,,,
sausage,bottled beer,sliced cheese,,,,,,,,
herbs,pip fruit,,,,,,,,,
citrus fruit,specialty bar,domestic eggs,,,,,,,,
dessert,butter,,,,,,,,,
meat,canned fish,brown bread,,,,,,,,
bottled water,cream cheese ,curd,,,,,,,,
condensed milk,fruit/vegetable juice,white wine,specialty fat,,,,,,,
domestic eggs,ham,,,,,,,,,
bottled beer,processed cheese,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
canned beer,napkins,,,,,,,,,
newspapers,coffee,,,,,,,,,
root vegetables,waffles,whipped/sour cream,,,,,,,,
whole milk,newspapers,frozen vegetables,,,,,,,,
chicken,napkins,other vegetables,newspapers,,,,,,,
root vegetables,coffee,,,,,,,,,
newspapers,citrus fruit,,,,,,,,,
herbs,specialty chocolate,red/blush wine,salad dressing,,,,,,,
UHT-milk,margarine,,,,,,,,,
liver loaf,herbs,,,,,,,,,
yogurt,yogurt,,,,,,,,,
curd,processed cheese,bottled water,pickled vegetables,,,,,,,
other vegetables,shopping bags,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
beef,tea,oil,,,,,,,,
tropical fruit,coffee,,,,,,,,,
pork,specialty chocolate,,,,,,,,,
soda,soda,,,,,,,,,
other vegetables,tropical fruit,white bread,specialty chocolate,pot plants,shopping bags,,,,,
whole milk,citrus fruit,pip fruit,butter,grapes,ice cream,margarine,whipped/sour cream,,,
sausage,tropical fruit,curd,,,,,,,,
turkey,canned beer,abrasive cleaner,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
roll products ,toilet cleaner,,,,,,,,,
hamburger meat,packaged fruit/vegetables,baking powder,,,,,,,,
other vegetables,misc. beverages,root vegetables,curd,dessert,,,,,,
canned beer,whipped/sour cream,misc. beverages,,,,,,,,
packaged fruit/vegetables,tea,,,,,,,,,
specialty bar,tropical fruit,yogurt,bottled beer,baking powder,,,,,,
frankfurter,pip fruit,,,,,,,,,
salt,citrus fruit,,,,,,,,,
pet care,brown bread,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
bottled water,butter milk,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
pork,newspapers,root vegetables,,,,,,,,
turkey,whipped/sour cream,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
other vegetables,yogurt,salty snack,,,,,,,,
brown bread,bottled beer,,,,,,,,,
whole milk,butter,,,,,,,,,
whole milk,whipped/sour cream,soda,,,,,,,,
citrus fruit,butter,,,,,,,,,
white bread,canned beer,,,,,,,,,
female sanitary products,salt,,,,,,,,,
pip fruit,pork,sausage,dessert,grapes,soda,dessert,yogurt,whole milk,,
onions,soda,,,,,,,,,
soft cheese,white wine,,,,,,,,,
butter,specialty chocolate,,,,,,,,,
whole milk,butter,,,,,,,,,
meat,frozen potato products,,,,,,,,,
whole milk,canned beer,cat food,,,,,,,,
chicken,root vegetables,dish cleaner,,,,,,,,
instant coffee,butter,,,,,,,,,
soda,rolls/buns,soda,,,,,,,,
root vegetables,soups,,,,,,,,,
soda,sliced cheese,,,,,,,,,
newspapers,long life bakery product,napkins,,,,,,,,
chocolate marshmallow,flour,,,,,,,,,
bottled water,yogurt,butter,,,,,,,,
frozen dessert,pastry,,,,,,,,,
whole milk,pork,,,,,,,,,
other vegetables,other vegetables,other vegetables,hamburger meat,soda,soft cheese,waffles,,,,
berries,rolls/buns,,,,,,,,,
whole milk,soda,,,,,,,,,
sausage,hamburger meat,newspapers,,,,,,,,
soda,curd,sliced cheese,,,,,,,,
ice cream,whole milk,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
pork,nuts/prunes,rolls/buns,,,,,,,,
chicken,tropical fruit,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
butter milk,other vegetables,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
curd,other vegetables,,,,,,,,,
pork,pip fruit,,,,,,,,,
rolls/buns,pet care,,,,,,,,,
rum,coffee,sliced cheese,,,,,,,,
curd,margarine,,,,,,,,,
white bread,dog food,potato products,,,,,,,,
canned beer,sugar,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
sausage,male cosmetics,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
other vegetables,coffee,,,,,,,,,
salty snack,condensed milk,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
whisky,shopping bags,rum,,,,,,,,
root vegetables,white wine,bottled water,red/blush wine,,,,,,,
root vegetables,frozen vegetables,domestic eggs,,,,,,,,
pip fruit,yogurt,,,,,,,,,
whole milk,newspapers,,,,,,,,,
canned beer,chocolate,,,,,,,,,
beef,citrus fruit,napkins,semi-finished bread,brown bread,,,,,,
misc. beverages,cling film/bags,,,,,,,,,
cream cheese ,pickled vegetables,,,,,,,,,
kitchen towels,bottled beer,,,,,,,,,
newspapers,newspapers,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
pork,butter,,,,,,,,,
pip fruit,onions,domestic eggs,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
grapes,soda,,,,,,,,,
frankfurter,zwieback,other vegetables,liquor,bottled water,,,,,,
other vegetables,butter,,,,,,,,,
beef,pet care,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
soda,other vegetables,white bread,,,,,,,,
bottled beer,other vegetables,butter,,,,,,,,
domestic eggs,UHT-milk,,,,,,,,,
other vegetables,white bread,whole milk,,,,,,,,
female sanitary products,margarine,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
hygiene articles,white bread,,,,,,,,,
salty snack,condensed milk,,,,,,,,,
long life bakery product,semi-finished bread,,,,,,,,,
citrus fruit,pet care,,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
frozen fish,beef,,,,,,,,,
sausage,bottled beer,hygiene articles,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
tropical fruit,baking powder,,,,,,,,,
citrus fruit,tropical fruit,root vegetables,soda,,,,,,,
liver loaf,canned beer,tropical fruit,canned vegetables,,,,,,,
other vegetables,oil,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
ice cream,dishes,,,,,,,,,
